Plant,Light,Watering,Humidity,Temperature,Fertilizer,Pruning,Propagation,Notes,
Pears,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""After flowering""","""Grafting""",
Cherries,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""After flowering""","""Grafting""",
Peaches,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After flowering""","""Grafting""",
Nectarines,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After flowering""","""Grafting""",
Plums,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""After flowering""","""Grafting""",
Apricots,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After flowering""","""Grafting""",
Figs,"""Full sun""","""Moderate""","""Well-drained""","""Balanced""","""Warm""","""Low""","""After fruiting""","""Cuttings""",
Grapes,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After fruiting""","""Cuttings""",
Avocado,"""Partial shade""","""Moderate""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Seeds""",
Citrus,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After fruiting""","""Cuttings""",
Mango,"""Full sun""","""Moderate""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After fruiting""","""Seeds""",
Pineapple,"""Full sun""","""Moderate""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After fruiting""","""Crown""",
Papaya,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After fruiting""","""Seeds""",
Bananas,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After fruiting""","""Suckers""",
Coffee,"""Partial shade""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After fruiting""","""Seeds""",
Tea,"""Partial shade""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""After fruiting""","""Cuttings""",
Cactus,"""Full sun""","""Moderate""","""Well-drained""","""Low""","""Warm""","""Low""","""After flowering""","""Seeds""",
Succulents,"""Full sun""","""Moderate""","""Well-drained""","""Low""","""Warm""","""Low""","""After flowering""","""Cuttings""",
Orchids,"""Bright indirect light""","""Moderate""","""Bark-based""","""Balanced""","""Warm""","""High""","""After flowering""","""Division""",
Ferns,"""Partial shade""","""Regular""","""Moist""","""Balanced""","""Cool""","""High""","""After flowering""","""Spores""",
Houseplants,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Regularly""","""Cuttings""",
Begonia,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
African Violet,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Leaf cuttings""",
Pothos,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
Snake Plant,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Low""","""Pinch back""","""Division""",
Spider Plant,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Puppies""",
ZZ Plant,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Low""","""Pinch back""","""Division""",
Peace Lily,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Division""",
Monstera,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
Fiddle Leaf Fig,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
Calathea,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""High""","""Pinch back""","""Division""",
Maranta,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""High""","""Pinch back""","""Division""",
Philodendron,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
Dieffenbachia,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
Croton,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
Dracaena,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
Yucca,"""Bright indirect light""","""Moderate""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
Alocasia,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""High""","""Pinch back""","""Division""",
Anthurium,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""High""","""Pinch back""","""Division""",
Bromeliad,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""High""","""Pinch back""","""Pups""",
Hoya,"""Bright indirect light""","""Moderate""","""Potting mix""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Cuttings""",
Strawberry,Full sun to partial shade,Regularly,Balanced fertilizer,Well-drained soil,60-85°F,Moderate,Remove runners and old leaves,Early summer to fall,
Tomato,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune suckers and leaves,Late summer to fall,
Lettuce,Partial shade to full sun,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Harvest outer leaves as needed,Spring to fall,
Basil,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Pinch off flower buds,Summer to fall,
Mint,Partial shade to full sun,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Cut stems back after flowering,Summer to fall,
Cucumber,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Pinch off side shoots and leaves,Summer,
Bell pepper,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune off suckers and leaves,Summer to fall,
Green beans,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Pinch off tips to encourage branching,Summer to fall,
Zucchini,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Pinch off side shoots and leaves,Summer,
Spinach,Partial shade to full sun,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Harvest outer leaves as needed,Spring to fall,
Kale,Full sun to partial shade,Regularly,Balanced fertilizer,Well-drained soil,40-75°F,Moderate,Harvest outer leaves as needed,Fall to spring,
Broccoli,Full sun,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Remove side shoots,Spring to fall,
Cauliflower,Full sun,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Remove side shoots,Spring to fall,
Radish,Full sun,Regularly,Balanced fertilizer,Well-drained soil,40-75°F,Moderate,Harvest when radishes are firm,Spring to fall,
Carrot,Full sun,Regularly,Balanced fertilizer,Well-drained soil,40-75°F,Moderate,Thin seedlings,Spring to fall,
Onion,Full sun,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Harvest bulbs when they are firm,Summer to fall,
Garlic,Full sun,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Harvest bulbs when leaves turn brown,Summer,
Potato,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Hilling up soil around plants,Summer,
Asparagus,Full sun,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Harvest spears in spring,Spring,
Blueberry,Full sun to partial shade,Regularly,Acidic fertilizer,Acidic soil,55-75°F,Moderate,Prune after fruiting,Summer,
Raspberry,Full sun to partial shade,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Prune after fruiting,Summer,
Blackberry,Full sun to partial shade,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Prune after fruiting,Summer,
Grape,Full sun,Regularly,Balanced fertilizer,Well-drained soil,55-75°F,Moderate,Prune in winter,Fall,
Apple,Full sun,Regularly,Balanced fertilizer,Well-drained soil,40-75°F,Moderate,Prune in winter,Fall,
Pear,Full sun,Regularly,Balanced fertilizer,Well-drained soil,40-75°F,Moderate,Prune in winter,Fall,
Cherry,Full sun,Regularly,Balanced fertilizer,Well-drained soil,40-75°F,Moderate,Prune in winter,Fall,
Peach,Full sun,Regularly,Balanced fertilizer,Well-drained soil,40-75°F,Moderate,Prune in winter,Fall,
Plum,Full sun,Regularly,Balanced fertilizer,Well-drained soil,40-75°F,Moderate,Prune in winter,Fall,
Avocado,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune after fruiting,Fall,
Mango,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune after fruiting,Summer,
Pineapple,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune after fruiting,Summer,
Papaya,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune after fruiting,Summer,
Lemon,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune in winter,Winter,
Orange,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune in winter,Winter,
Lime,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune in winter,Winter,
Grapefruit,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune in winter,Winter,
Fig,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune after fruiting,Fall,
Date,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune after fruiting,Summer,
Olive,Full sun,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune in winter,Winter,
Coconut,Full sun,Regularly,Balanced fertilizer,Sandy soil,75-90°F,High,Prune after fruiting,Summer,
Coffee,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune after fruiting,Fall,
Tea,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,65-85°F,Moderate,Prune after fruiting,Fall,
Vanilla,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune after fruiting,Fall,
Cinnamon,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune after fruiting,Fall,
Ginger,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest rhizomes,Summer,
Turmeric,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest rhizomes,Summer,
Cayenne pepper,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest peppers,Fall,
Oregano,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Rosemary,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Thyme,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Sage,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Lavender,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Chives,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Parsley,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Cilantro,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Dill,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves and seeds,Summer,
Fennel,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest bulbs and leaves,Summer,
Tarragon,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Marjoram,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Basil,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Peppermint,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Spearmint,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Lemon balm,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest leaves,Summer,
Chamomile,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Echinacea,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Calendula,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Sunflower,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest seeds,Fall,
Zinnia,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Cosmos,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Marigold,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Petunia,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Geranium,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Begonia,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Impatiens,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Fuchsia,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Salvia,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Rose,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Lily,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Summer,
Tulip,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Spring,
Daffodil,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Spring,
Hyacinth,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Spring,
Crocus,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Spring,
Snowdrop,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Spring,
Iris,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Spring,
Peony,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Spring,
Amaryllis,Full sun,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Winter,
Orchid,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Harvest flowers,Spring,
Succulent,Full sun,Infrequently,Balanced fertilizer,Well-drained soil,75-90°F,Low,Prune as needed,Year-round,
Cactus,Full sun,Infrequently,Balanced fertilizer,Well-drained soil,75-90°F,Low,Prune as needed,Year-round,
Fern,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune as needed,Year-round,
Moss,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune as needed,Year-round,
Ivy,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune as needed,Year-round,
Peace lily,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune as needed,Year-round,
Snake plant,Partial shade,Infrequently,Balanced fertilizer,Well-drained soil,75-90°F,Low,Prune as needed,Year-round,
Spider plant,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune as needed,Year-round,
ZZ plant,Partial shade,Infrequently,Balanced fertilizer,Well-drained soil,75-90°F,Low,Prune as needed,Year-round,
Pothos,Partial shade,Regularly,Balanced fertilizer,Well-drained soil,75-90°F,High,Prune as needed,Year-round,
Rosemary,Full sun,Allow soil to dry slightly between waterings,Fertilize monthly during growing season,60-80°F (15-27°C),Moderate,Pinch back stems to encourage bushier growth,,,
Lavender,Full sun,Water deeply and infrequently,Fertilize lightly in spring,50-70°F (10-21°C),Low,Prune after flowering to maintain shape,,,
Basil,Full sun,Water regularly,Fertilize every 2-3 weeks,60-80°F (15-27°C),Moderate,Pinch back stems to encourage bushier growth,,,
Mint,Partial shade,Water regularly,Fertilize lightly every few weeks,50-70°F (10-21°C),Moderate,Plant in containers to prevent spread,,,
Oregano,Full sun,Water moderately,Fertilize lightly in spring,60-80°F (15-27°C),Low,Harvest leaves regularly to encourage growth,,,
Thyme,Full sun,Water sparingly,Fertilize lightly in spring,60-80°F (15-27°C),Low,Pinch back stems to encourage bushier growth,,,
Sage,Full sun,Water sparingly,Fertilize lightly in spring,60-80°F (15-27°C),Low,Harvest leaves regularly to encourage growth,,,
Chives,Full sun,Water regularly,Fertilize lightly every few weeks,50-70°F (10-21°C),Moderate,Cut back flower stalks to encourage leaf growth,,,
Parsley,Full sun,Water regularly,Fertilize lightly every few weeks,50-70°F (10-21°C),Moderate,Pinch back stems to encourage bushier growth,,,
Dill,Full sun,Water regularly,Fertilize lightly every few weeks,50-70°F (10-21°C),Moderate,Harvest seeds when they turn brown,,,
Cilantro,Full sun,Water regularly,Fertilize lightly every few weeks,50-70°F (10-21°C),Moderate,Harvest leaves before flowers appear,,,
Marigolds,Full sun,Water regularly,Fertilize every 2-3 weeks,60-80°F (15-27°C),Moderate,Deadhead spent blooms to encourage more flowers,,,
Zinnias,Full sun,Water regularly,Fertilize every 2-3 weeks,60-80°F (15-27°C),Moderate,Deadhead spent blooms to encourage more flowers,,,
Petunias,Full sun,Water regularly,Fertilize every 2-3 weeks,60-80°F (15-27°C),Moderate,Pinch back stems to encourage bushier growth,,,
Geraniums,Full sun,Water moderately,Fertilize every 2-3 weeks,60-80°F (15-27°C),Low,Pinch back stems to encourage bushier growth,,,
Impatiens,Partial shade,Water regularly,Fertilize every 2-3 weeks,60-80°F (15-27°C),Moderate,Pinch back stems to encourage bushier growth,,,
Begonias,Partial shade,Water regularly,Fertilize every 2-3 weeks,60-80°F (15-27°C),Moderate,Pinch back stems to encourage bushier growth,,,
Fuchsia,Partial shade,Water regularly,Fertilize every 2-3 weeks,60-80°F (15-27°C),Moderate,Pinch back stems to encourage bushier growth,,,
Hostas,Partial shade,Water regularly,Fertilize lightly in spring,50-70°F (10-21°C),Moderate,Divide clumps every few years to prevent overcrowding,,,
Daylilies,Full sun,Water regularly,Fertilize lightly in spring,50-70°F (10-21°C),Moderate,Divide clumps every few years to prevent overcrowding,,,
Irises,Full sun,Water moderately,Fertilize lightly in spring,50-70°F (10-21°C),Low,Divide clumps every few years to prevent overcrowding,,,
Peonies,Full sun,Water moderately,Fertilize lightly in spring,50-70°F (10-21°C),Low,Divide clumps every few years to prevent overcrowding,,,
Roses,Full sun,Water deeply and infrequently,Fertilize regularly throughout the growing season,50-70°F (10-21°C),Moderate,Prune regularly to maintain shape,,,
Hydrangeas,Partial shade,Water regularly,Fertilize lightly in spring,50-70°F (10-21°C),Moderate,Prune after flowering to maintain shape,,,
Azaleas,Partial shade,Water regularly,Fertilize lightly in spring,50-70°F (10-21°C),High,Acidify soil with peat moss or sulfur,,,
Rhododendrons,Partial shade,Water regularly,Fertilize lightly in spring,50-70°F (10-21°C),High,Acidify soil with peat moss or sulfur,,,
Camellias,Partial shade,Water regularly,Fertilize lightly in spring,50-70°F (10-21°C),High,Acidify soil with peat moss or sulfur,,,
Orchids,Bright indirect light,Water when the potting mix is dry,Fertilize monthly during growing season,60-80°F (15-27°C),High,Repot in bark or moss,,,
Succulents,Bright indirect light,Water sparingly,Fertilize lightly in spring,60-80°F (15-27°C),Low,Use well-draining soil,,,
Cacti,Bright indirect light,Water sparingly,Fertilize lightly in spring,60-80°F (15-27°C),Low,Use well-draining soil,,,
Peace lilies,Bright indirect light,Water when the top inch of soil is dry,Fertilize monthly during growing season,60-80°F (15-27°C),High,Mist leaves regularly,,,
Snake plants,Bright indirect light,Water sparingly,Fertilize lightly in spring,60-80°F (15-27°C),Low,Tolerate low light conditions,,,
Spider plants,Bright indirect light,Water when the top inch of soil is dry,Fertilize monthly during growing season,60-80°F (15-27°C),Moderate,Propagate easily from plantlets,,,
ZZ plants,Low light,Water sparingly,Fertilize lightly in spring,60-80°F (15-27°C),Low,Tolerate drought conditions,,,
Pothos,Bright indirect light,Water when the top inch of soil is dry,Fertilize monthly during growing season,60-80°F (15-27°C),Moderate,Propagate easily from cuttings,,,
Plant,Sunlight,Watering,Soil,Fertilizer,Growth_Tips,Problems,,,
Rosemary,Full Sun,Moderate,Well-draining,Balanced,Pinch off flower buds to encourage bushiness,Susceptible to root rot in soggy soil,,,
Lavender,Full Sun,Moderate,Well-draining,Balanced,Deadhead spent flowers for continuous blooms,Can be susceptible to aphids,,,
Basil,Full Sun,Regular,Well-draining,Balanced,Pinch off flower buds to encourage leaf growth,Can be susceptible to fungal diseases,,,
Oregano,Full Sun,Moderate,Well-draining,Balanced,Pinch off flower buds to encourage leaf growth,Can be susceptible to fungal diseases,,,
Thyme,Full Sun,Moderate,Well-draining,Balanced,Pinch off flower buds to encourage leaf growth,Can be susceptible to fungal diseases,,,
Mint,Partial Shade,Regular,Well-draining,Balanced,Pinch off flower buds to encourage leaf growth,Can be invasive, so plant in containers,,
Lemon Balm,Full Sun to Partial Shade,Regular,Well-draining,Balanced,Pinch off flower buds to encourage leaf growth,Can be invasive, so plant in containers,,
Chamomile,Full Sun,Moderate,Well-draining,Balanced,Deadhead spent flowers for continuous blooms,Can be susceptible to aphids,,,
Calendula,Full Sun,Moderate,Well-draining,Balanced,Deadhead spent flowers for continuous blooms,Can be susceptible to powdery mildew,,,
Marigold,Full Sun,Moderate,Well-draining,Balanced,Deadhead spent flowers for continuous blooms,Can be susceptible to aphids,,,
Zinnia,Full Sun,Moderate,Well-draining,Balanced,Deadhead spent flowers for continuous blooms,Can be susceptible to powdery mildew,,,
Cosmos,Full Sun,Moderate,Well-draining,Balanced,Deadhead spent flowers for continuous blooms,Can be susceptible to aphids,,,
Sunflower,Full Sun,Moderate,Well-draining,Balanced,Pinch off side shoots to encourage a single large bloom,Can be susceptible to fungal diseases,,,
Dahlia,Full Sun,Moderate,Well-draining,Balanced,Deadhead spent flowers for continuous blooms,Can be susceptible to aphids,,,
Begonia,Partial Shade,Regular,Well-draining,Balanced,Pinch off spent flowers to encourage new blooms,Can be susceptible to fungal diseases,,,
Geranium,Full Sun to Partial Shade,Moderate,Well-draining,Balanced,Pinch off spent flowers to encourage new blooms,Can be susceptible to aphids,,,
Petunia,Full Sun,Moderate,Well-draining,Balanced,Deadhead spent flowers for continuous blooms,Can be susceptible to fungal diseases,,,
Impatiens,Partial Shade,Regular,Well-draining,Balanced,Pinch off spent flowers to encourage new blooms,Can be susceptible to fungal diseases,,,
Fuchsia,Partial Shade,Regular,Well-draining,Balanced,Pinch off spent flowers to encourage new blooms,Can be susceptible to aphids,,,
Hosta,Partial Shade,Moderate,Well-draining,Balanced,Divide plants every few years to keep them healthy,Can be susceptible to snails and slugs,,,
Daylily,Full Sun to Partial Shade,Moderate,Well-draining,Balanced,Deadhead spent flowers to encourage new blooms,Can be susceptible to fungal diseases,,,
Iris,Full Sun to Partial Shade,Moderate,Well-draining,Balanced,Divide plants every few years to keep them healthy,Can be susceptible to fungal diseases,,,
Lily,Full Sun to Partial Shade,Moderate,Well-draining,Balanced,Stake tall varieties to prevent them from flopping over,Can be susceptible to fungal diseases,,,
Rose,Full Sun to Partial Shade,Regular,Well-draining,Balanced,Prune regularly to encourage new growth,Can be susceptible to fungal diseases and pests,,,
Hydrangea,Partial Shade,Regular,Well-draining,Balanced,Prune after flowering to encourage new growth,Can be susceptible to fungal diseases,,,
Clematis,Full Sun to Partial Shade,Moderate,Well-draining,Balanced,Prune after flowering to encourage new growth,Can be susceptible to fungal diseases,,,
Wisteria,Full Sun,Moderate,Well-draining,Balanced,Prune regularly to control growth,Can be invasive,,,
Peony,Full Sun to Partial Shade,Moderate,Well-draining,Balanced,Divide plants every few years to keep them healthy,Can be susceptible to fungal diseases,,,
Lilac,Full Sun,Moderate,Well-draining,Balanced,Prune after flowering to encourage new growth,Can be susceptible to fungal diseases,,,
Magnolia,Full Sun to Partial Shade,Moderate,Well-draining,Balanced,Prune sparingly, as they bloom on old wood,Can be susceptible to fungal diseases,,
